boot\<0\> X,boot\<0\> Y,boot\<1\> X,boot\<1\> Y,charge\<0\> X,charge\<0\> Y,charge\<1\> X,charge\<1\> Y
7.963802153494963e-10,0,7.963802153494963e-10,0.325743236384446,7.963802153494963e-10,1.1,7.963802153494963e-10,0.7742567636155541
8.068065508475038e-10,0,8.068065508475038e-10,0.3372122054322542,8.068065508475038e-10,1.1,8.068065508475038e-10,0.7627877945677459
8.215825553565963e-10,0,8.215825553565963e-10,0.3534658103922559,8.215825553565963e-10,1.1,8.215825553565963e-10,0.7465341896077442
8.329438122103389e-10,0,8.329438122103389e-10,0.3659631929313728,8.329438122103389e-10,1.1,8.329438122103389e-10,0.7340368070686273
8.475965006135154e-10,0,8.475965006135154e-10,0.3820811501748669,8.475965006135154e-10,1.1,8.475965006135154e-10,0.7179188498251332
8.61470650435406e-10,0,8.61470650435406e-10,0.3973427149789466,8.61470650435406e-10,1.1,8.61470650435406e-10,0.7026572850210535
8.745909411550444e-10,0,8.745909411550444e-10,0.4117750347705489,8.745909411550444e-10,1.1,8.745909411550444e-10,0.6882249652294512
8.875785298134001e-10,0,8.875785298134001e-10,0.4260613822947401,8.875785298134001e-10,1.1,8.875785298134001e-10,0.67393861770526
9.004425367768196e-10,0,9.004425367768196e-10,0.4402117899545016,9.004425367768196e-10,1.1,9.004425367768196e-10,0.6597882100454985
9.133998794321976e-10,0,9.133998794321976e-10,0.4544648668754174,9.133998794321976e-10,1.1,9.133998794321976e-10,0.6455351331245827
9.265861335615408e-10,0,9.265861335615408e-10,0.468969746417695,9.265861335615408e-10,1.1,9.265861335615408e-10,0.6310302535823051
9.400206132164172e-10,0,9.400206132164172e-10,0.483747674038059,9.400206132164172e-10,1.1,9.400206132164172e-10,0.6162523259619411
9.536699896695559e-10,0,9.536699896695559e-10,0.4987619881365114,9.536699896695559e-10,1.1,9.536699896695559e-10,0.6012380118634887
9.674868433438759e-10,0,9.674868433438759e-10,0.5139605271782635,9.674868433438759e-10,1.1,9.674868433438759e-10,0.5860394728217366
9.815035510612397e-10,0,9.815035510612397e-10,0.5293789056673637,9.815035510612397e-10,1.1,9.815035510612397e-10,0.5706210943326364
9.907517755306199e-10,0,9.907517755306199e-10,0.5395519525836818,9.907517755306199e-10,1.1,9.907517755306199e-10,0.5604480474163183
1e-09,0,1e-09,0.5497249995000001,1e-09,1.1,1e-09,0.5502750005
1.004825221136274e-09,0,1.004825221136274e-09,0.5550327427499016,1.004825221136274e-09,1.1,1.004825221136274e-09,0.5449672572500985
1.013126045235901e-09,0,1.013126045235901e-09,0.5641636492594909,1.013126045235901e-09,1.1,1.013126045235901e-09,0.5358363507405092
1.021157417834914e-09,0,1.021157417834914e-09,0.5729981591184057,1.021157417834914e-09,1.1,1.021157417834914e-09,0.5270018408815944
1.032163053380154e-09,0,1.032163053380154e-09,0.5851043582181695,1.032163053380154e-09,1.1,1.032163053380154e-09,0.5148956417818306
1.045260042123919e-09,0,1.045260042123919e-09,0.5995110458363113,1.045260042123919e-09,1.1,1.045260042123919e-09,0.5004889541636888
1.05738822322291e-09,0,1.05738822322291e-09,0.6128520450452011,1.05738822322291e-09,1.1,1.05738822322291e-09,0.487147954954799
1.068787130022539e-09,0,1.068787130022539e-09,0.6253908425247925,1.068787130022539e-09,1.1,1.068787130022539e-09,0.4746091574752076
1.079477507594214e-09,0,1.079477507594214e-09,0.6371502578536354,1.079477507594214e-09,1.1,1.079477507594214e-09,0.4628497421463647
1.089537301487319e-09,0,1.089537301487319e-09,0.6482160311360508,1.089537301487319e-09,1.1,1.089537301487319e-09,0.4517839688639494
1.098967404338318e-09,0,1.098967404338318e-09,0.6585891442721501,1.098967404338318e-09,1.1,1.098967404338318e-09,0.44141085572785
1.107303390308054e-09,0,1.107303390308054e-09,0.6677587288388593,1.107303390308054e-09,1.1,1.107303390308054e-09,0.4322412711611407
1.113158554753119e-09,0,1.113158554753119e-09,0.6741994097284314,1.113158554753119e-09,1.1,1.113158554753119e-09,0.4258005902715687
1.11855244163328e-09,0,1.11855244163328e-09,0.6801326852966081,1.11855244163328e-09,1.1,1.11855244163328e-09,0.419867314703392
1.127012229213605e-09,0,1.127012229213605e-09,0.689438451634966,1.127012229213605e-09,1.1,1.127012229213605e-09,0.4105615483650341
1.133734248010515e-09,0,1.133734248010515e-09,0.6968326723115661,1.133734248010515e-09,1.1,1.133734248010515e-09,0.4031673276884339
