/I1/PLUS (Design_Point=1) X,/I1/PLUS (Design_Point=1) Y,/NM0/S (Design_Point=1) X,/NM0/S (Design_Point=1) Y,/out (Design_Point=1) X,/out (Design_Point=1) Y
6.476806428066176e-10,1e-07,6.476806428066176e-10,-1.087201217069155e-06,6.476806428066176e-10,0.9934745638792629
6.685284073532479e-10,1e-07,6.685284073532479e-10,-1.086879221635726e-06,6.685284073532479e-10,0.9932835103401471
6.798350994989631e-10,1e-07,6.798350994989631e-10,-1.086706135764614e-06,6.798350994989631e-10,0.993179997305196
6.916248631411893e-10,1e-07,6.916248631411893e-10,-1.086526834373045e-06,6.916248631411893e-10,0.993072004957037
7.019919461841478e-10,1e-07,7.019919461841478e-10,-1.086370169874095e-06,7.019919461841478e-10,0.9929768137904604
7.101235879691578e-10,1e-07,7.101235879691578e-10,-1.086247822070932e-06,7.101235879691578e-10,0.9929018052628928
7.171037055608946e-10,1e-07,7.171037055608946e-10,-1.086142950624152e-06,7.171037055608946e-10,0.9928369818111517
7.234641792640679e-10,1e-07,7.234641792640679e-10,-1.08604717633717e-06,7.234641792640679e-10,0.9927773562209004
7.294866020179617e-10,1e-07,7.294866020179617e-10,-1.085955857333757e-06,7.294866020179617e-10,0.9927201866737386
7.354461086654903e-10,1e-07,7.354461086654903e-10,-1.08586426831392e-06,7.354461086654903e-10,0.9926626683830796
7.412736855863862e-10,1e-07,7.412736855863862e-10,-1.085772748981475e-06,7.412736855863862e-10,0.9926052137988567
7.471631236799103e-10,1e-07,7.471631236799103e-10,-1.085677320320416e-06,7.471631236799103e-10,0.9925455762870868
7.534474910981404e-10,1e-07,7.534474910981404e-10,-1.085570775974735e-06,7.534474910981404e-10,0.9924797192534113
7.60353876287894e-10,1e-07,7.60353876287894e-10,-1.085445941283012e-06,7.60353876287894e-10,0.9924040186141698
7.675522223095309e-10,1e-07,7.675522223095309e-10,-1.085304456952205e-06,7.675522223095309e-10,0.9923205423923944
7.751505344972552e-10,1e-07,7.751505344972552e-10,-1.085138835079531e-06,7.751505344972552e-10,0.9922262671194869
7.834938343109453e-10,1e-07,7.834938343109453e-10,-1.084933439754489e-06,7.834938343109453e-10,0.9921142336882535
7.927013065947232e-10,1e-07,7.927013065947232e-10,-1.084670833632049e-06,7.927013065947232e-10,0.9919780069848211
8.032440436266421e-10,1e-07,8.032440436266421e-10,-1.084315632455972e-06,8.032440436266421e-10,0.9918034920860632
8.188022372454895e-10,1e-07,8.188022372454895e-10,-1.08366606298833e-06,8.188022372454895e-10,0.9915042940850236
8.334450991386084e-10,1e-07,8.334450991386084e-10,-1.082902238066766e-06,8.334450991386084e-10,0.9911725444754721
8.464639138702918e-10,1e-07,8.464639138702918e-10,-1.082089361388561e-06,8.464639138702918e-10,0.9908337503934771
8.632361942396283e-10,1e-07,8.632361942396283e-10,-1.080846688175267e-06,8.632361942396283e-10,0.9903329716125279
8.903564775035078e-10,1e-07,8.903564775035078e-10,-1.078372108337169e-06,8.903564775035078e-10,0.9893679766528896
9.148703143260003e-10,1e-07,9.148703143260003e-10,-1.075648231793132e-06,9.148703143260003e-10,0.9883285288099408
9.340339684873427e-10,1e-07,9.340339684873427e-10,-1.073186493545625e-06,9.340339684873427e-10,0.9873969048137168
9.495242884884084e-10,1e-07,9.495242884884084e-10,-1.07096569724473e-06,9.495242884884084e-10,0.9865571540793011
9.627691528241796e-10,1e-07,9.627691528241796e-10,-1.068890386291483e-06,9.627691528241796e-10,0.9857699881720663
9.752465814845516e-10,1e-07,9.752465814845516e-10,-1.066797342181674e-06,9.752465814845516e-10,0.9849719655577941
9.87395581987348e-10,1e-07,9.87395581987348e-10,-1.064662279813793e-06,9.87395581987348e-10,0.9841522892769127
9.936977909936742e-10,1e-07,9.936977909936742e-10,-1.063529468607522e-06,9.936977909936742e-10,0.9837147798597879
1e-09,1e-07,1e-09,-1.062390166457008e-06,1e-09,0.9832724964608118
