/I1/PLUS (Design_Point=1) X,/I1/PLUS (Design_Point=1) Y,/NM0/S (Design_Point=1) X,/NM0/S (Design_Point=1) Y,/out (Design_Point=1) X,/out (Design_Point=1) Y
7.739550101426032e-10,9.999999999999999e-06,7.739550101426032e-10,-1.084274326652317e-05,7.739550101426032e-10,0.9209726593298514
7.821626907451427e-10,9.999999999999999e-06,7.821626907451427e-10,-1.084126511242167e-05,7.821626907451427e-10,0.9201225422372399
7.912134054202422e-10,9.999999999999999e-06,7.912134054202422e-10,-1.083960607549745e-05,7.912134054202422e-10,0.919173678664933
8.01448574890546e-10,9.999999999999999e-06,8.01448574890546e-10,-1.083768661318438e-05,8.01448574890546e-10,0.9180843931939441
8.152880107786567e-10,9.999999999999999e-06,8.152880107786567e-10,-1.083500112915045e-05,8.152880107786567e-10,0.9165792024647648
8.309917926778612e-10,9.999999999999999e-06,8.309917926778612e-10,-1.083180962578697e-05,8.309917926778612e-10,0.914820918791145
8.440871995568726e-10,9.999999999999999e-06,8.440871995568726e-10,-1.082901966643516e-05,8.440871995568726e-10,0.9133104082859255
8.596615918070345e-10,9.999999999999999e-06,8.596615918070345e-10,-1.082553969401785e-05,8.596615918070345e-10,0.9114582621488422
8.872005647569923e-10,9.999999999999999e-06,8.872005647569923e-10,-1.081894753329162e-05,8.872005647569923e-10,0.9080315115467195
9.124566512336117e-10,9.999999999999999e-06,9.124566512336117e-10,-1.081241750190048e-05,9.124566512336117e-10,0.9047172226387222
9.321555005520298e-10,9.999999999999999e-06,9.321555005520298e-10,-1.08069984227855e-05,9.321555005520298e-10,0.902011633951297
9.479561670512711e-10,9.999999999999999e-06,9.479561670512711e-10,-1.080243065506706e-05,9.479561670512711e-10,0.8997560250958883
9.613458870382518e-10,9.999999999999999e-06,9.613458870382518e-10,-1.079839457063245e-05,9.613458870382518e-10,0.8977777452756303
9.737695147246171e-10,9.999999999999999e-06,9.737695147246171e-10,-1.07945243908442e-05,9.737695147246171e-10,0.895888602409544
9.858304710329702e-10,9.999999999999999e-06,9.858304710329702e-10,-1.079068343739304e-05,9.858304710329702e-10,0.89401514051108
